Iteration,Train Silhouette,Test Silhouette,Calinski-Harabasz,Davies-Bouldin,Adjusted Rand Index,Normalized Mutual Info,Fowlkes-Mallows Index
1,0.9116961865001999,0.9072814620545604,2679.3626230318964,0.2374909910027444,-0.00019010806140205375,3.722084923257998e-06,0.6904118523773849
2,0.9097204273974767,0.9121197130669578,2523.31445166709,0.23066009878085003,0.00041757046426271207,0.0017980232467937473,0.693946688620884
3,0.9131191166078917,0.9038278361581483,2914.546237156694,0.22184313665908398,0.0006642203121740814,0.03219149915473194,0.6938353098330023
4,0.9069522671951746,0.9212136862943512,2561.1690424426974,0.24577696290294693,-0.00052823417388644,0.001703623591333833,0.6968519945509798
5,0.9120653168944183,0.9051611755667945,3034.0312547063586,0.2434699795162647,-0.0022185927325031546,0.007061896840457423,0.6979031735593296
6,0.9123728529432745,0.9065752946211603,2673.880774034555,0.21355985136181238,-0.00045267302735395895,0.0009416469081993816,0.6904165108523322
7,0.9099608264338827,0.9127098090687992,2621.3108253345454,0.24953115000667556,2.992882924405763e-06,0.0004244859163102557,0.6920944816016648
8,0.907676497426678,0.9196336559931242,2370.1960529227654,0.1981316194918451,-0.0005510359223341747,0.002040822365870229,0.6888143618343632
9,0.9071720669863752,0.9213737266133493,2276.87077585801,0.23932463391011138,-0.0012010109097716564,0.0021362038796990802,0.6925175067389723
10,0.9083396071278302,0.9169355275927499,2152.6180579452075,0.24756778675035868,0.0008736074780800124,0.004351627863594072,0.6877707432614631
11,0.9123321502627664,0.9076507914550785,2242.1329178277115,0.25833176407389324,0.0015348960430221473,0.0017198919608132723,0.6862401174328997
12,0.9085054155329249,0.9183657776029814,1927.2367776475369,0.2581391376153356,0.0016683122521626193,0.0026767142992313044,0.6841890585117046
13,0.9101698830376473,0.9142129013926075,2217.0053718163867,0.25819556766980606,-0.00047822949994254926,0.0017154941413832522,0.6856630479055811
14,0.9106384819127854,0.9064731195393511,2377.817157481633,0.3309468178270272,-6.667942610464613e-05,0.0003168902470453148,0.685813333511382
15,0.9091594168448444,0.9161545165867397,2650.0564451917785,0.17336404632015465,5.734682289437891e-05,0.00045535825860580387,0.6921713283810155
16,0.9095014094705296,0.9143782350443648,1921.8214349658863,0.2463222976592251,-0.0001083335362837566,0.0024032804200546593,0.6779834735580108
17,0.9112018918893782,0.9088995771020798,3004.2146897152097,0.23327371063138444,-0.000680512666738738,0.005328282495191352,0.6983834282595047
18,0.9102186226259881,0.9107438860831847,2544.508623369735,0.23674537388473865,-9.996760881752539e-05,2.05025030829022e-05,0.6938458771019446
19,0.9078506338291459,0.9190155808859531,2494.9667911375896,0.18496346249567605,-0.00020105322032680712,1.4886253409903698e-07,0.6903650746164359
20,0.90852921645915,0.9162845180408228,2418.418482523932,0.2675551249742072,0.00021038283611923435,0.004813993649346777,0.6905143588795166
